id,validated,included_in_stats,publication_type,publication_format,publication_year,authors,title,journal_name,volume,issue,pages,doi,url,book_title,book_authors,book_publisher,pdf_present,mesophotic,mce,tme,original_data,new_species,min_depth,max_depth,fields,focusgroups,platforms,locations
1,TRUE,TRUE,scientific,article,1991,"Kosaki RK, Pyle RL, Randall JE, Irons DK","New records of fishes from Johnston Atoll, with notes on biogeography",Pac Sci,45,2,186-203,,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,5,75,Biodiversity,Fishes,SCUBA (open-circuit or unspecified),USA - Johnston Atoll
2,TRUE,TRUE,scientific,article,2014,"Englebert N, Bongaerts P, Muir P, Hay KB, Hoegh-Guldberg O",Deepest zooxanthellate corals of the Great Barrier Reef and Coral Sea,Marine Biodiversity,45,,2-Jan,10.1007/s12526-014-0221-8,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,80,125,Molecular ecology; Biodiversity; Connectivity,Scleractinia (Hard Corals),Remotely Operated Vehicle (ROV),Australia - Great Barrier Reef; Australia - Coral Sea
3,TRUE,TRUE,scientific,article,2012,"Foster R, Bridge TCL, Bongaerts P",The first record of Hippocampus denise (Syngnathidae) from Australia,Aqua Int J Ichthyol,18,1,55-57,,https://aqua-aquapress.com/the-first-record-of-hippocampus-denise-syngnathidae-from-australia/,,,,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,30,100,Biodiversity; Management and Conservation,Fishes,Remotely Operated Vehicle (ROV),Australia - Great Barrier Reef
4,TRUE,TRUE,scientific,article,2011,"Lesser MP, Slattery M",Phase shift to algal dominated communities at mesophotic depths associated with lionfish (Pterois volitans) invasion on a Bahamian coral reef,Biol Invasions,13,,1855-1868,10.1007/s10530-011-0005-z,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,30,91,Ecology; Community structure; Disturbances,Overall benthic (groups); Fishes,Rebreather; SCUBA (open-circuit or unspecified); SCUBA (open-circuit or unspecified),Bahamas
5,TRUE,TRUE,scientific,article,2009,"Chan YL, Pochon X, Fisher MA, Wagner D, Concepcion GT, Kahng SE, Toonen RJ, Gates RD",Generalist dinoflagellate endosymbionts and host genotype diversity detected from mesophotic (67-100 m depths) coral Leptoseris,BMC Ecol,9,21,,10.1186/1472-6785-9-21,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,67,100,Molecular ecology; Biodiversity; Community structure,Scleractinia (Hard Corals); Symbiodinium (zooxanthellae),Manned Submersible,USA - Hawaii
6,TRUE,TRUE,scientific,article,2013,"Bongaerts P, Frade PR, Ogier JJ, Hay KB, van Bleijswijk J, Englebert N, Vermeij MJA, Bak RPM, Visser PM, Hoegh-Guldberg O",Sharing the slope: depth partitioning of agariciid corals and associated Symbiodinium across shallow and mesophotic habitats (2-60 m) on a Caribbean reef,BMC Evol Biol,13,205,,10.1186/1471-2148-13-205,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,2,60,Molecular ecology; Community structure; Connectivity,Scleractinia (Hard Corals); Symbiodinium (zooxanthellae),SCUBA (open-circuit or unspecified),Curaçao
7,TRUE,TRUE,scientific,article,2011,"Bongaerts P, Riginos C, Hay KB, van Oppen MJH, Hoegh-Guldberg O, Dove S",Adaptive divergence in a scleractinian coral: physiological adaptation of Seriatopora hystrix to shallow and deep reef habitats,BMC Evol Biol,11,303,,10.1186/1471-2148-11-303,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,2,30,Molecular ecology; Physiology; Connectivity,Scleractinia (Hard Corals); Symbiodinium (zooxanthellae),SCUBA (open-circuit or unspecified),Australia - Great Barrier Reef
8,TRUE,TRUE,scientific,article,1986,"Colin PL, Devaney DM, Hillis-Colinvaux L, Suchanek TH, Harrison JT III","Geology and biological zonation of the reef slope, 50-360 m depth at Enewetak Atoll, Marshall Islands",Bull Mar Sci,38,1,111-128,,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,5,365,Geomorphology; Biodiversity; Community structure,Overall benthic (groups),Manned Submersible,Micronesia - Marshall Islands
9,TRUE,TRUE,scientific,article,1995,"Bak RPM, Nieuwland G",Long-term change in coral communities along depth gradients over Leeward Reefs in the Netherlands Antilles,Bull Mar Sci,56,2,609-619,,http://www.ingentaconnect.com/content/umrsmas/bullmar/1995/00000056/00000002/art00017,,,,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,10,40,Community structure; Long-term monitoring,Scleractinia (Hard Corals),SCUBA (open-circuit or unspecified),Curaçao; Bonaire
10,TRUE,TRUE,scientific,article,2003,"Vermeij MJA, Diekmann OE, Bak RPM","A new species of scleractinian coral (Cnidaria, Anthozoa), Madracis carmabi N. Sp. from the Caribbean",Bull Mar Sci,73,3,679-684,,https://www.ingentaconnect.com/contentone/umrsmas/bullmar/2003/00000073/00000003/art00011,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,15,45,Biodiversity; Evolution; Taxonomy,Scleractinia (Hard Corals),SCUBA (open-circuit or unspecified),Curaçao
11,TRUE,TRUE,scientific,article,2003,"Vermeij MJA, Bak RPM",Species-Specific Population Structure of Closely Related Coral Morphospecies Along a Depth Gradient (5-60 m) Over a Caribbean Reef Slope,Bull Mar Sci,73,3,725-744,,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,5,60,Community structure; Ecology,Scleractinia (Hard Corals),SCUBA (open-circuit or unspecified),Curaçao
12,TRUE,TRUE,scientific,article,2005,"Feitoza BM, Rosa RS, Rocha LA",Ecology and Zoogeography of Deep-Reef Fishes in Northeastern Brazil,Bull Mar Sci,76,3,725-742,,http://www.ingentaconnect.com/content/umrsmas/bullmar/2005/00000076/00000003/art00010,,,,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,35,70,Ecology; Biodiversity; Community structure,Fishes,SCUBA (open-circuit or unspecified),Brazil - Eastern Brazil
13,TRUE,TRUE,scientific,article,2013,"Breedy O, Guzman HM",A New Species of the Genus Eugorgia (Cnidaria: Octocorallia: Gorgoniidae) from Mesophotic Reefs in the Eastern Pacific,Bull Mar Sci,89,3,735-743,10.5343/bms.2013.1014,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,50,63,Biodiversity; Taxonomy,Octocorallia (Soft Corals),Manned Submersible,Panama - Pacific Ocean
14,TRUE,TRUE,scientific,article,2004,"Bunkley-Williams L, Williams EH","New locality, depth, and size records and species character modifications of some Caribbean deep-reef/shallow slope fishes and a new host and locality record for the chimaera cestodarian",Caribb J Sci,40,1,88-119,,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,0,630,Biodiversity; Taxonomy,Fishes,Fishing,Bahamas; Barbados; Belize; Bermuda; British Virgin Islands; Cuba; Curaçao; Dominica; Honduras - Bay Islands; Puerto Rico; Saint Lucia; St Vincent; US Virgin Islands; Dominican Republic; Saint Kitts and Nevis; Trinidad and Tobago
15,TRUE,TRUE,scientific,article,2006,"Armstrong RA, Singh H, Torres J, Nemeth RS, Can A, Roman C, Eustice R, Riggs L, Garcia-Moliner G",Characterizing the deep insular shelf coral reef habitat of the Hind Bank marine conservation district (US Virgin Islands) using the Seabed autonomous underwater vehicle,Cont Shelf Res,26,,194-205,10.1016/j.csr.2005.10.004,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,32,54,Community structure; Biodiversity,"Overall benthic (groups); Scleractinia (Hard Corals); Algae (Macro, Turf and Crustose Coralline); Octocorallia (Soft Corals); Porifera (Sponges)",Autonomous Underwater Vehicle (AUV),US Virgin Islands
16,TRUE,TRUE,scientific,article,2007,"Menza C, Kendall M, Rogers C, Miller J",A deep reef in deep trouble,Cont Shelf Res,27,,2224-2230,10.1016/j.csr.2007.05.017,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,30,40,Community structure; Ecology; Disturbances,Overall benthic (groups); Scleractinia (Hard Corals),Remotely Operated Vehicle (ROV),US Virgin Islands
17,TRUE,TRUE,scientific,article,1989,Kosaki RK,"Centropyge nahackyi, a new species of angelfish from Johnston Atoll (Teleostei: Pomacanthidae)",Copeia,1989,4,880-886,10.2307/1445972,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,35,45,Biodiversity; Taxonomy,Fishes,SCUBA (open-circuit or unspecified),USA - Johnston Atoll
18,TRUE,TRUE,scientific,article,2013,"Bongaerts P, Muir P, Englebert N, Bridge TCL, Hoegh-Guldberg O",Cyclone damage at mesophotic depths on Myrmidon Reef (GBR),Coral Reefs,32,4,935,10.1007/s00338-013-1052-y,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,50,65,Ecology; Long-term monitoring; Disturbances,Scleractinia (Hard Corals),Remotely Operated Vehicle (ROV),Australia - Great Barrier Reef
19,TRUE,TRUE,scientific,article,2013,"Sinniger F, Morita M, Harii S","""Locally extinct"" coral species Seriatopora hystrix found at upper mesophotic depths in Okinawa",Coral Reefs,32,1,153,10.1007/s00338-012-0973-1,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,35,47,Biodiversity; Community structure,Scleractinia (Hard Corals),SCUBA (open-circuit or unspecified),Japan - Ryukyu Islands (Okinawa)
20,TRUE,TRUE,scientific,article,2012,"Bridge TCL, Fabricius KE, Bongaerts P, Wallace CC, Muir PR, Done TJ, Webster JM","Diversity of Scleractinia and Octocorallia in the mesophotic zone of the Great Barrier Reef, Australia",Coral Reefs,31,1,179-189,10.1007/s00338-011-0828-1,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,47,163,Biodiversity; Community structure,Scleractinia (Hard Corals); Octocorallia (Soft Corals),Dredging / trawling,Australia - Great Barrier Reef
21,TRUE,TRUE,scientific,article,2012,"Gori A, Viladrich N, Gili JM, Kotta M, Cucio C, Magni L, Bramanti L, Rossi S","Reproductive cycle and trophic ecology in deep versus shallow populations of the Mediterranean gorgonian Eunicella singularis (Cap de Creus, northwestern Mediterranean Sea)",Coral Reefs,31,3,823-837,10.1007/s00338-012-0904-1,,,,,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,18,60,Physiology; Long-term monitoring; Reproduction; Oceanography,Octocorallia (Soft Corals),Surface-deployed sensors and samplers; SCUBA (open-circuit or unspecified),Spain - Mediterranean Sea
22,TRUE,TRUE,scientific,article,1986,"Maragos JE, Jokiel PL",Reef corals of Johnston Atoll: one of the world's most isolated reefs,Coral Reefs,4,3,141-150,10.1007/BF00427935,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,20,400,Biodiversity; Community structure; Connectivity,Scleractinia (Hard Corals),Manned Submersible; SCUBA (open-circuit or unspecified); SCUBA (open-circuit or unspecified),USA - Johnston Atoll
23,TRUE,TRUE,scientific,article,1989,"Harris PT, Davies PJ","Submerged reefs and terraces on the shelf edge of the Great Barrier Reef, Australia",Coral Reefs,8,,87-98,10.1007/BF00301807,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,25,167,Geomorphology,,Sonar / Multibeam; Manned Submersible,Australia - Great Barrier Reef
24,TRUE,TRUE,scientific,article,2003,"Vermeij MJA, Engelen AH, Bak RPM",Deep formations (50-80 m) of the solitary coral Phacelocyanthus flos on southern Caribbean reefs,Coral Reefs,22,2,107-108,10.1007/s00338-003-0297-2,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,50,80,Ecology,Scleractinia (Hard Corals),SCUBA (open-circuit or unspecified),Curaçao
25,TRUE,TRUE,scientific,article,2005,"Bak RPM, Nieuwland G, Meesters EH",Coral reef crisis in deep and shallow reefs: 30 years of constancy and change in reefs of Curacao and Bonaire,Coral Reefs,24,3,475-479,10.1007/s00338-005-0009-1,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,10,40,Community structure; Long-term monitoring; Oceanography,Scleractinia (Hard Corals),SCUBA (open-circuit or unspecified),Curaçao; Bonaire
26,TRUE,TRUE,scientific,article,2005,"Kahng SE, Grigg RW","Impact of an alien octocoral, Carijoa riisei, on black corals in Hawaii",Coral Reefs,24,4,556-562,10.1007/s00338-005-0026-0,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,30,115,Ecology; Disturbances,Octocorallia (Soft Corals); Antipatharia (Black Corals),Remotely Operated Vehicle (ROV); Manned Submersible,USA - Hawaii
27,TRUE,TRUE,scientific,article,2006,"Culter JK, Ritchie KB, Earle SA, Guggenheim DE, Halley RB, Ciembronowicz KT, Hine AC, Jarrett BD, Locker SD, Jaap WC","Pulley reef: a deep photosynthetic coral reef on the West Florida Shelf, USA",Coral Reefs,25,2,228,10.1007/s00338-006-0097-6,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,60,75,Community structure; Biodiversity,"Scleractinia (Hard Corals); Algae (Macro, Turf and Crustose Coralline)",SCUBA (open-circuit or unspecified),USA - Pulley Ridge
28,TRUE,TRUE,scientific,article,2006,"Kahng SE, Maragos JE","The deepest, zooxanthellate scleractinian corals in the world?",Coral Reefs,25,2,254,10.1007/s00338-006-0098-5,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,70,131,Community structure; Biodiversity,Scleractinia (Hard Corals),Manned Submersible,USA - Hawaii
29,TRUE,TRUE,scientific,article,2007,"Wagner D, Kahng SE, Toonen RJ",New report of nudibranch predators of the invasive octocoral Carijoa riisei in the Main Hawaiian Islands,Coral Reefs,26,2,411,10.1007/s00338-007-0232-z,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,,,Ecology; Biodiversity; Disturbances,Octocorallia (Soft Corals); Other invertebrates,,USA - Hawaii
30,TRUE,TRUE,scientific,article,2007,"Kahng SE, Kelley CD","Vertical zonation of megabenthic taxa on a deep photosynthetic reef (50-140 m) in the Au'au Channel, Hawaii",Coral Reefs,26,3,679-687,10.1007/s00338-007-0253-7,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,31,153,Community structure; Connectivity; Oceanography,"Scleractinia (Hard Corals); Octocorallia (Soft Corals); Overall benthic (groups); Algae (Macro, Turf and Crustose Coralline); Antipatharia (Black Corals)",Sonar / Multibeam; Manned Submersible; Remotely Operated Vehicle (ROV); Surface-deployed sensors and samplers,USA - Hawaii
31,TRUE,TRUE,scientific,article,2007,Armstrong RA,Deep zooxanthellate coral reefs of the Puerto Rico: US Virgin Islands insular platform,Coral Reefs,26,4,945,10.1007/s00338-007-0286-y,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,30,47,Community structure,Scleractinia (Hard Corals); Overall benthic (groups); Porifera (Sponges),Autonomous Underwater Vehicle (AUV),US Virgin Islands; Puerto Rico
32,TRUE,TRUE,scientific,article,2008,"Nugues MM, Bak RPM",Long-term dynamics of the brown macroalga Lobophora variegata on deep reefs in Curacao,Coral Reefs,27,2,389-393,10.1007/s00338-007-0346-3,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,10,40,Community structure; Ecology; Long-term monitoring,"Algae (Macro, Turf and Crustose Coralline); Scleractinia (Hard Corals)",SCUBA (open-circuit or unspecified),Curaçao
33,TRUE,FALSE,scientific,article,2010,"Hinderstein LM, Marr JCA, Martinez FA, Dowgiallo MJ, Puglise KA, Pyle RL, Zawada DG, Appeldoorn R","Theme section on 'Mesophotic Coral Ecosystems: Characterization, Ecology, and Management'",Coral Reefs,29,2,247-251,10.1007/s00338-010-0614-5,,,,,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,,Management and Conservation; Ecology,Scleractinia (Hard Corals),,
34,TRUE,TRUE,scientific,article,2010,"Gleason ACR, Gracias N, Lirman D, Gintert BE, Smith TB, Dick MC, Reid RP",Landscape video mosaic from a mesophotic coral reef,Coral Reefs,29,2,253,10.1007/s00338-009-0544-2,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,38,38,Community structure; Methods and Technology,Scleractinia (Hard Corals),SCUBA (open-circuit or unspecified),US Virgin Islands
35,TRUE,FALSE,scientific,review,2010,"Kahng SE, Garcia-Sais JR, Spalding HL, Brokovich E, Wagner D, Weil E, Hinderstein L, Toonen RJ",Community ecology of mesophotic coral reef ecosystems,Coral Reefs,29,2,255-275,10.1007/s00338-010-0593-6,,,,,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,30,470,Ecology; Community structure; Oceanography,"Scleractinia (Hard Corals); Algae (Macro, Turf and Crustose Coralline); Fishes",,
36,TRUE,TRUE,scientific,article,2010,Garcia-Sais JR,"Reef habitats and associated sessile-benthic and fish assemblages across a euphotic-mesophotic depth gradient in Isla Desecheo, Puerto Rico",Coral Reefs,29,2,277-288,10.1007/s00338-009-0582-9,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,15,50,Community structure,Fishes; Overall benthic (groups),Rebreather,Puerto Rico
37,TRUE,TRUE,scientific,article,2010,"Smith TB, Blondeau J, Nemeth RS, Pittman SJ, Calnan JM, Kadison E, Gass J","Benthic structure and cryptic mortality in a Caribbean mesophotic coral reef bank system, the Hind Bank Marine Conservation District, US Virgin Islands",Coral Reefs,29,2,289-308,10.1007/s00338-009-0575-8,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,25,50,Community structure; Disturbances; Management and Conservation; Oceanography,"Overall benthic (groups); Scleractinia (Hard Corals); Algae (Macro, Turf and Crustose Coralline)",Rebreather; Surface-deployed sensors and samplers; SCUBA (open-circuit or unspecified),US Virgin Islands
38,TRUE,FALSE,scientific,review,2010,"Bongaerts P, Ridgway T, Sampayo EM, Hoegh-Guldberg O",Assessing the 'deep reef refugia' hypothesis: focus on Caribbean reefs,Coral Reefs,29,2,309-327,10.1007/s00338-009-0581-x,,,,,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,0,133,Connectivity; Management and Conservation; Climate Change; Disturbances,Scleractinia (Hard Corals),,
39,TRUE,FALSE,scientific,review,2010,"Locker SD, Armstrong RA, Battista TA, Rooney JJ, Sherman C, Zawada DG","Geomorphology of mesophotic coral ecosystems: current perspectives on morphology, distribution, and mapping strategies",Coral Reefs,29,2,329-345,10.1007/s00338-010-0613-6,,,,,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,30,100,Geomorphology,Scleractinia (Hard Corals),,American Samoa; Puerto Rico; USA - Continental Atlantic Ocean; USA - Gulf of Mexico; USA - Hawaii; USA - Pulley Ridge; Micronesia - Mariana Islands
40,TRUE,TRUE,scientific,article,2010,"Sherman C, Nemeth M, Ruíz H, Bejarano I, Appeldoorn R, Pagán F, Schärer M, Weil E",Geomorphology and benthic cover of mesophotic coral ecosystems of the upper insular slope of southwest Puerto Rico,Coral Reefs,29,2,347-360,10.1007/s00338-010-0607-4,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,20,160,Geomorphology; Community structure,Scleractinia (Hard Corals); Overall benthic (groups),Sonar / Multibeam; Remotely Operated Vehicle (ROV); Rebreather; SCUBA (open-circuit or unspecified),Puerto Rico
41,TRUE,TRUE,scientific,article,2010,"Rooney J, Donham E, Montgomery A, Spalding H, Parrish F, Boland R, Fenner D, Gove J, Vetter O",Mesophotic coral ecosystems in the Hawaiian Archipelago,Coral Reefs,29,2,361-367,10.1007/s00338-010-0596-3,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,30,170,Community structure,Scleractinia (Hard Corals); Overall benthic (groups),Manned Submersible; Remotely Operated Vehicle (ROV); Drop / Towed Video; SCUBA (open-circuit or unspecified),USA - Hawaii
42,TRUE,TRUE,scientific,article,2010,"Bare AY, Grimshaw KL, Rooney JJ, Sabater MG, Fenner D, Carroll B","Mesophotic communities of the insular shelf at Tutuila, American Samoa",Coral Reefs,29,2,369-377,10.1007/s00338-010-0600-y,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,12,105,Community structure; Connectivity,Scleractinia (Hard Corals); Overall benthic (groups),Drop / Towed Video,American Samoa
43,TRUE,TRUE,scientific,article,2011,"Bridge TCL, Done TJ, Beaman RJ, Friedman A, Williams SB, Pizarro O, Webster JM","Topography, substratum and benthic macrofaunal relationships on a tropical mesophotic shelf margin, central Great Barrier Reef, Australia",Coral Reefs,30,1,143-153,10.1007/s00338-010-0677-3,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,51,145,Community structure; Geomorphology,Overall benthic (groups),Autonomous Underwater Vehicle (AUV); Sonar / Multibeam,Australia - Great Barrier Reef
44,TRUE,TRUE,scientific,article,2011,"Bongaerts P, Bridge TCL, Kline DI, Muir PR, Wallace CC, Beaman RJ, Hoegh-Guldberg O",Mesophotic coral ecosystems on the walls of Coral Sea atolls,Coral Reefs,30,2,335,10.1007/s00338-011-0725-7,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,30,150,Biodiversity,Scleractinia (Hard Corals); Overall benthic (groups),Remotely Operated Vehicle (ROV); SCUBA (open-circuit or unspecified),Australia - Coral Sea
45,TRUE,TRUE,scientific,article,2011,"Gutner-Hoch E, Fine M",Genotypic diversity and distribution of Ostreobium quekettii within scleractinian corals,Coral Reefs,30,3,643-650,10.1007/s00338-011-0750-6,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,6,55,Molecular ecology; Ecology,Scleractinia (Hard Corals); Other endosymbionts (non-Symbiodinium),SCUBA (open-circuit or unspecified),Israel - Red Sea
46,TRUE,TRUE,scientific,article,2011,"Fricke A, Titlyanova TV, Nugues MM, Bischof K",Depth-related variation in epiphytic communities growing on the brown alga Lobophora variegata in a Caribbean coral reef,Coral Reefs,30,4,967-973,10.1007/s00338-011-0772-0,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,10,40,Ecology; Community structure,"Algae (Macro, Turf and Crustose Coralline); Other invertebrates",SCUBA (open-circuit or unspecified),Curaçao
47,TRUE,TRUE,scientific,article,2011,"Costantini F, Rossi S, Pintus E, Cerrano C, Gili J-M, Abbiati M",Low connectivity and declining genetic variability along a depth gradient in Corallium rubrum populations,Coral Reefs,30,4,991-1003,10.1007/s00338-011-0771-1,,,,,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,20,70,Connectivity; Molecular ecology,Octocorallia (Soft Corals),SCUBA (open-circuit or unspecified),Spain - Mediterranean Sea; Italy - Ligurian-Tyrrhenian
48,TRUE,TRUE,scientific,article,2011,"Nir O, Gruber DF, Einbinder S, Kark S, Tchernov D",Changes in scleractinian coral Seriatopora hystrix morphology and its endocellular Symbiodinium characteristics along a bathymetric gradient from shallow to mesophotic reef,Coral Reefs,30,4,1089-1100,10.1007/s00338-011-0801-z,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,0,60,Molecular ecology; Physiology; Connectivity; Ecology,Scleractinia (Hard Corals); Symbiodinium (zooxanthellae),SCUBA (open-circuit or unspecified),Israel - Red Sea
49,TRUE,TRUE,scientific,article,2014,"Pinheiro HT, Joyeux J-C, Moura RL",Reef oases in a seamount chain in the southwestern Atlantic,Coral Reefs,33,4,1113,10.1007/s00338-014-1211-9,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,17,84,Geomorphology; Management and Conservation; Biodiversity,Overall benthic (groups),SCUBA (open-circuit or unspecified),Brazil - Trindade and Martin Vaz
50,TRUE,FALSE,scientific,review,2014,"Kahng SE, Copus JM, Wagner D",Recent advances in the ecology of mesophotic coral ecosystems (MCEs),Curr Opin Environ Sustain,7,,72-81,10.1016/j.cosust.2013.11.019,,,,,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,2,396,Connectivity; Physiology; Biodiversity; Ecology,Fishes; Scleractinia (Hard Corals); Symbiodinium (zooxanthellae); Overall benthic (groups),,
51,TRUE,TRUE,scientific,article,2001,"Aponte NE, Ballantine DL","Depth distribution of algal species on the deep insular fore reef at Lee Stocking Island, Bahamas",Deep Sea Res,48,10,2185-2194,10.1016/S0967-0637(01)00011-5,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,45,150,Community structure,"Algae (Macro, Turf and Crustose Coralline)",Manned Submersible,Bahamas
52,TRUE,TRUE,scientific,article,2011,"Cherubin LM, Nemeth RS, Idrisi N",Flow and transport characteristics at an Epinephelus guttatus (red hind grouper) spawning aggregation site in St. Thomas (US Virgin Islands),Ecol Model,222,17,3132-3148,10.1016/j.ecolmodel.2011.05.031,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,30,200,Oceanography; Reproduction; Fisheries,Fishes,SCUBA (open-circuit or unspecified),US Virgin Islands
53,TRUE,TRUE,scientific,article,2010,"Lesser MP, Slattery M, Stat M, Ojimi M, Gates RD, Grottoli A","Photoacclimatization by the coral Montastraea cavernosa in the mesophotic zone: light, food, and genetics",Ecology,91,4,990-1003,10.1890/09-0313.1,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,3,91,Ecology; Community structure; Physiology; Molecular ecology,Scleractinia (Hard Corals); Symbiodinium (zooxanthellae),Surface-deployed sensors and samplers; SCUBA (open-circuit or unspecified); SCUBA (open-circuit or unspecified),Bahamas
54,TRUE,FALSE,scientific,review,2012,"Webster NS, Taylor MW",Marine sponges and their microbial symbionts: love and other relationships,Environ Microbiol,14,2,335-46,10.1111/j.1462-2920.2011.02460.x,,,,,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,30,686,Physiology; Molecular ecology; Disturbances; Ecology,Porifera (Sponges); Bacteria and Archaea; Fungi; Viruses,,
55,TRUE,TRUE,scientific,article,2007,"Nemeth RS, Blondeau J, Herzlieb S, Kadison E","Spatial and temporal patterns of movement and migration at spawning aggregations of red hind, Epinephelus guttatus, in the US Virgin Islands",Environ Biol Fish,78,4,365-381,10.1007/s10641-006-9161-x,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,30,60,Fisheries; Management and Conservation; Behavior; Reproduction; Oceanography,Fishes,Acoustic Telemetry; Fishing; SCUBA (open-circuit or unspecified),US Virgin Islands
56,TRUE,TRUE,scientific,article,2007,"Brokovich E, Einbinder S, Kark S, Shashar N, Kiflawi M",A deep nursery for juveniles of the zebra angelfish Genicanthus caudovittatus,Environ Biol Fish,80,1,6-Jan,10.1007/s10641-006-9160-y,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,5,65,Ecology; Connectivity; Community structure,Fishes,SCUBA (open-circuit or unspecified),Israel - Red Sea
57,TRUE,TRUE,scientific,article,2008,"Webster JM, Beaman RJ, Bridge T, Davies PJ, Byrne M, Williams S, Manning P, Pizarro O, Thornborough K, Woolsey E, Thomas A, Tudhope S",From corals to canyons: The Great Barrier Reef Margin,Eos Trans A G U,89,24,217-218,10.1029/2008EO240002,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,40,1100,Geomorphology,Overall benthic (groups),Sonar / Multibeam; Autonomous Underwater Vehicle (AUV); Dredging / trawling,Australia - Great Barrier Reef
58,TRUE,TRUE,scientific,article,2013,"Olson JB, Gao X",Characterizing the bacterial associates of three Caribbean sponges along a gradient from shallow to mesophotic depths,FEMS Microbiol Ecol,85,1,74-84,10.1111/1574-6941.12099,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,9,90,Community structure; Molecular ecology,Porifera (Sponges); Bacteria and Archaea,SCUBA (open-circuit or unspecified); SCUBA (open-circuit or unspecified),Cayman Islands
59,TRUE,FALSE,scientific,review,2010,"Olson JB, Kellogg CA","Microbial ecology of corals, sponges, and algae in mesophotic coral environments",FEMS Microbiol Ecol,73,1,17-30,10.1111/j.1574-6941.2010.00862.x,,,,,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,3,200,Ecology; Molecular ecology,"Bacteria and Archaea; Symbiodinium (zooxanthellae); Viruses; Algae (Macro, Turf and Crustose Coralline); Porifera (Sponges)",,
