id,validated,included_in_stats,publication_type,publication_format,publication_year,authors,title,journal_name,volume,issue,pages,doi,url,book_title,book_authors,book_publisher,pdf_present,mesophotic,mce,tme,original_data,new_species,min_depth,max_depth,fields,focusgroups,platforms,locations
288,TRUE,FALSE,technical,report,2016,"Andradi-Brown D, Laverick J, Bejarano I, Bridge T, Colin PL, Eyal G, Jones R, Kahng S, Reed J, Smith T, Spalding HL, Wood E",Mesophotic Coral Ecosystems - A lifeboat for coral reefs?,,,,,,https://coastalscience.noaa.gov/data_reports/threats-to-mesophotic-coral-ecosystems-and-management-options/,,,,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,30,150,Biodiversity; Ecology; Community structure; Evolution; Physiology; Geomorphology; Oceanography; Long-term monitoring; Fisheries; Management and Conservation; Connectivity; Paleoecology,"Fishes; Scleractinia (Hard Corals); Overall benthic (groups); Algae (Macro, Turf and Crustose Coralline); Other invertebrates; Antipatharia (Black Corals); Hydrozoa; Octocorallia (Soft Corals); Porifera (Sponges); Symbiodinium (zooxanthellae)",Remotely Operated Vehicle (ROV); Rebreather; Fishing; Autonomous Underwater Vehicle (AUV); Sonar / Multibeam; Drop / Towed Video; SCUBA (open-circuit or unspecified),Australia - Great Barrier Reef; USA - Hawaii; Israel - Red Sea; Japan - Ryukyu Islands (Okinawa); Micronesia - Caroline Islands (Pohnpei); Puerto Rico; US Virgin Islands; USA - Pulley Ridge; Australia - Northern Australia
289,TRUE,TRUE,scientific,article,1994,"Ballantine DL, Norris JN","Verdigellas, a new deep-water genus (Tetrasporales, Chlorophyta) from the tropical western Atlantic",Crypt.  Bot,4,,368-372,,,,,,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,46,100,Biodiversity; Taxonomy,"Algae (Macro, Turf and Crustose Coralline)",Manned Submersible; Dredging / trawling,Puerto Rico; Bahamas
290,TRUE,TRUE,scientific,article,2002,"Ballantine DL, Aponte NE","Botryocladia bahamense sp. nov. (Rhodymeniaceae, Rhodophyta) from the Bahamas, western Atlantic",Crypt Algol,23,2,123-130,,,,,,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,32,76,Biodiversity; Taxonomy,"Algae (Macro, Turf and Crustose Coralline)",Manned Submersible,Bahamas
291,TRUE,TRUE,scientific,article,1996,"Ballantine DL, Aponte NE","Verdigellas nektongammea (Tetrasporales, Chlorophyta), a new deep-water species from the Bahamas",Nova Hedwigia,62,3,425-429,,,,,,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,61,76,Biodiversity; Taxonomy,"Algae (Macro, Turf and Crustose Coralline)",Manned Submersible,Bahamas
292,TRUE,TRUE,scientific,article,2016,"Tornabene L, Robertson DR, Baldwin CC","Varicus lacerta, a new species of goby (Teleostei, Gobiidae, Gobiosomatini, Nes subgroup) from a mesophotic reef in the southern Caribbean",Zookeys,596,,143-156,10.3897/zookeys.596.8217,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,129,143,Biodiversity; Molecular ecology; Taxonomy,Fishes,Manned Submersible,Curaçao
293,TRUE,TRUE,scientific,article,2016,"Lucas MQ, Stat M, Smith MC, Weil E, Schizas NV",Symbiodinium (internal transcribed spacer 2) diversity in the coral host Agaricia lamarcki (Cnidaria: Scleractinia) between shallow and mesophotic reefs in the Northern Caribbean (20–70 m),Mar Ecol,47,5,1079-1087,10.1111/maec.12367,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,20,70,Molecular ecology; Biodiversity,Scleractinia (Hard Corals); Symbiodinium (zooxanthellae),Rebreather; SCUBA (open-circuit or unspecified),Puerto Rico; US Virgin Islands
294,TRUE,TRUE,scientific,article,2017,"Galindo Estronza AM, Alfaro M, Schizas NV",Morphological and genetic species diversity in ostracods (Crustacea: Oligostraca) from Caribbean reefs,Marine Biodiversity,47,1,37-53,10.1007/s12526-016-0525-y,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,3,102,Biodiversity; Community structure; Molecular ecology,Crustacea,Rebreather; SCUBA (open-circuit or unspecified),Puerto Rico; US Virgin Islands
295,TRUE,TRUE,scientific,article,2016,"Vaza AC, Parisa CB, Olascoaga MJ, Kourafalou VH, Kanga H, Reed JK",The perfect storm: match-mismatch of bio-physical events drives larval reef fish connectivity between Pulley Ridge mesophotic reef and the Florida Keys,Cont Shelf Res,125,0,136-146,10.1016/j.csr.2016.06.012,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,0,80,Connectivity,Fishes,,USA - Pulley Ridge; USA - Gulf of Mexico
296,TRUE,TRUE,scientific,article,2016,"Andradi-Brown DA, Gress E, Wright G, Exton DA, Rogers AD","Reef fish community biomass and trophic structure changes across shallow to upper-mesophotic reefs in the Mesoamerican Barrier Reef, Caribbean",PLoS ONE,11,6,e0156641,10.1371/journal.pone.0156641,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,5,40,Biodiversity; Community structure; Ecology,Fishes,SCUBA (open-circuit or unspecified),Honduras - Bay Islands
297,TRUE,TRUE,scientific,article,2016,"Borell EM, Pettay DT, Steinke M, Warner M, Fine M",Symbiosis-specific changes in dimethylsulphoniopropionate concentrations in Stylophora pistillata along a depth gradient,Coral Reefs,35,4,1383–1392,10.1007/s00338-016-1475-3,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,3,50,Physiology,Scleractinia (Hard Corals); Symbiodinium (zooxanthellae),SCUBA (open-circuit or unspecified),Israel - Red Sea
