Id,Description,Created at,Updated at,Latitude,Longitude,Short description,Site name [Sites],Latitude [Sites],Longitude [Sites],SOVEREIGN1,TERRITORY1,Notes
80,Papua New Guinea,2017-05-24 4:50,2018-05-10 1:33,-6.908,147.141, - ,Kimbe Bay,-5.3,150.124,Papua New Guinea,Papua New Guinea,
81,Israel - Mediterranean Sea,2017-05-24 4:51,2018-05-10 1:34,32.117,34.714, - ,,,,Israel ,Israel ,
82,Republic of Maldives,2017-05-24 4:52,2018-05-10 1:34,3.203,73.22, - ,,,,Maldives,Maldives,
83,Solomon Islands,2017-05-24 4:53,2018-05-10 1:35,-9.646,160.156, - ,Peava,-8.789,158.233,Solomon Islands,Solomon Islands,
84,Dominica,2017-06-02 0:28,2018-05-10 1:36,15.414,-61.37, - ,,,,Dominica,Dominica,
85,British Virgin Islands,2017-07-26 0:22,2018-05-10 1:37,18.421,-64.639, - ,,,,United Kingdom,British Virgin Islands,
86,Saint Lucia,2017-07-26 0:22,2018-05-10 1:38,13.909,-60.978, - ,,,,Saint Lucia,Saint Lucia,
87,Aruba,2017-07-26 0:23,2018-05-10 1:38,12.521,-69.968, - ,,,,Netherlands,Aruba,
88,Colombia - Pacific Ocean,2017-07-26 0:23,2018-05-10 1:39,4.545,-77.395, - ,,,,Colombia ,Colombia ,
89,Colombia - Caribbean Sea,2017-07-26 0:23,2018-05-10 1:40,11.391,-74.69, - ,,,,Colombia ,Colombia ,
90,Norway,2017-08-10 6:31,2018-05-10 1:41,58.39,9.04, - ,,,,Norway,Norway,
91,Denmark,2017-08-10 6:52,2018-05-10 1:42,56.548,10.501, - ,,,,Denmark,Denmark,
92,Saint Kitts and Nevis,2017-09-26 8:08,2018-05-10 1:43,17.357,-62.782, - ,,,,Saint Kitts and Nevis,Saint Kitts and Nevis,
93,Trinidad and Tobago,2017-09-26 8:08,2018-05-10 1:44,10.795,-58.915, - ,,,,Trinidad and Tobago,Trinidad and Tobago,
94,Dominican Republic,2017-09-26 8:09,2018-05-10 1:45,18.25,-70.124, - ,,,,Dominican Republic,Dominican Republic,
95,Malaysia,2017-10-11 9:42,2017-10-11 9:42,3.751893,107.666016, - ,,,,Malaysia,Malaysia,
96,Montserrat,2017-11-06 21:01,2018-05-10 1:48,16.742,-62.187, - ,,,,United Kingdom,Montserrat,
98,Mexico - Baja California,2017-11-15 15:52,2017-11-15 15:52,26.39,-110.74, - ,,,,Mexico ,Baja California,
100,Saba Bank,2017-11-29 19:20,2023-11-02 22:12,17.63333,-66.25, - ,,,,Netherlands,Saba Bank,
101,Indonesia,2017-12-04 17:23,2017-12-04 17:23,-8.008,115.4, - ,,,,Indonesia,Indonesia,
102,Egypt - Red Sea,2017-12-07 11:44,2017-12-07 11:44,26.011,34.645, - ,,,,Egypt ,Egypt ,
103,Djibouti,2017-12-07 11:45,2017-12-07 11:45,11.743,43.148, - ,,,,Djibouti,Djibouti,
104,Pitcairn Islands,2017-12-10 10:32,2017-12-10 10:32,-24.376,-128.324, - ,,,,United Kingdom,Pitcairn Islands,
105,Taiwan,2017-12-11 10:07,2017-12-11 10:07,21.733,120.844, - ,,,,Taiwan,Taiwan,
106,India - Arabian Sea,2017-12-11 10:24,2023-10-27 18:04,16.307,73.004, - ,,,,India ,India ,
107,Republic of Palau,2018-03-15 6:26,2018-05-10 1:31,7.522,134.459, - ,,,,Palau,Palau,
108,Croatia,2018-04-10 0:40,2018-11-13 4:38,44.373,14.925, - ,,,,Croatia,Croatia,
109,Peru,2018-04-16 2:03,2018-11-13 4:33,-10.773,-77.981, - ,,,,Peru,Peru,
111,Portugal,2018-04-20 5:24,2018-04-20 5:24,36.954,-9.004, - ,,,,Portugal,Portugal,
113,Oman,2018-05-06 22:51,2018-05-10 1:27,22.427,59.909, - ,,,,Oman,Oman,
114,Tonga,2018-05-10 0:51,2018-05-10 0:51,-21.179,-175.199, - ,,,,Tonga,Tonga,
115,Kiribati,2018-05-10 0:57,2018-05-10 0:57,1.99,-157.49, - ,,,,Kiribati,Kiribati,
116,New Caledonia,2018-05-10 1:02,2018-05-10 1:02,-20.015,164.195, - ,Chesterfield Islands,-19.35,158.67,France,New Caledonia,
117,Mexico - Caribbean Sea,2018-05-10 1:07,2023-10-23 20:25,21.032,-86.703, - ,,,,Mexico ,Mexico ,
118,Sweden,2018-05-10 1:15,2018-05-10 1:15,58.866,11.167, - ,,,,Sweden,Sweden,
119,Italy - Ionian Sea,2018-05-10 1:22,2018-05-10 1:22,38.39,16.76, - ,,,,Italy ,Italy ,
120,Greece,2018-05-10 1:25,2018-05-10 1:25,39.019,25.268, - ,,,,Greece,Greece,
121,Malta,2018-05-11 23:53,2018-05-11 23:53,35.9375,14.3754, - ,,,,Malta,Malta,
122,Christmas Island,2018-05-11 23:55,2018-05-11 23:55,-10.4475,105.6904, - ,,,,Australia ,Christmas Island,
123,Seychelles,2018-05-11 23:56,2018-05-11 23:56,-4.6796,55.492, - ,,,,Seychelles,Seychelles,
124,Spain - Atlantic Ocean,2018-05-11 23:58,2023-10-23 18:46,43.597,-9.496, - ,,,,Spain ,Spain ,
125,Turkey - Sea of Marmara,2018-05-11 23:59,2018-05-11 23:59,40.6681,28.1123, - ,,,,Turkey ,Turkey ,
126,Italy - Mediterranean,2018-05-12 0:02,2018-05-12 0:02,37.859,16.318, - ,,,,Italy ,Italy ,
127,Mauritius,2018-05-18 6:13,2018-05-18 6:13,-20.348,57.552, - ,,,,Mauritius,Mauritius,
129,Navassa Island,2018-05-21 6:10,2018-05-21 6:12,18.41,-75.011, - ,,,,Haiti,Navassa Island,Overlapping claim: USA and Jamaica
130,Turkey - Mediterranean Sea,2018-06-21 10:12,2018-06-21 10:12,38.865,26.52, - ,,,,Turkey ,Turkey ,
131,Chile - Easter Island,2018-09-25 22:59,2023-10-23 20:22,-27.1127,-109.3497, - ,,,,Chile,Easter Island,
132,New Zealand,2018-09-25 23:02,2018-09-25 23:02,-40.9006,174.886, - ,,,,New Zealand,New Zealand,
133,Japan - Ogasawara,2018-09-26 22:12,2018-09-26 22:12,27.0944,142.1919, - ,,,,Japan ,Ogasawara Islands,
134,Portugal - Azores,2018-09-26 22:19,2018-09-26 22:19,37.7412,-25.6756, - ,,,,Portugal ,Azores,
135,France - Mediterranean Sea,2018-09-26 22:24,2018-09-26 22:24,43.2548,-6.6379, - ,,,,France,France ,
136,Mexico - Gulf of Mexico,2018-10-04 5:08,2018-10-04 5:08,25.681137,-89.890137, - ,,,,Mexico ,Gulf of Mexico,
137,Italy - Adriatic Sea,2018-11-13 6:20,2020-11-16 13:42,41.855,17.29, - ,,,,Italy ,Italy ,
138,Singapore,2020-12-13 3:41,2020-12-13 3:41,1.29027,103.851959, - ,,,,Singapore,Singapore,
139,Madagascar,2021-01-04 9:02,2021-01-04 9:02,-23.35,43.6, - ,,,,Madagascar,Madagascar,
140,Tanzania,2021-01-07 18:10,2021-01-07 18:10,-5.46,39.41, - ,,,,Tanzania,Tanzania,
141,Mayotte,2021-01-07 18:50,2021-01-07 18:50,-12.8,45.13, - ,,,,France,Mayotte,Overlapping claim: Comoros
142,Reunion Islands,2021-06-02 8:38,2021-06-02 8:38,34.111,-83.86, - ,,,,France,Reunion Islands,Not listed in marineregions.org
143,Canada - British Columbia,2021-07-29 7:21,2021-07-29 7:22,49.396,-123.397, - ,,,,Canada ,Canada ,
144,Myanmar - Andaman Sea,2023-03-01 16:17,2023-03-01 16:17,15.20285,96.229625, - ,,,,Myanmar,Myanmar,
145,China - South China Sea,2023-03-01 17:59,2023-03-01 17:59,20.11184,114.63132, - ,,,,China ,China ,
146,Iran,2023-03-01 18:41,2023-03-01 18:41,32.414048,53.683487, - ,,,,Iran,Iran,
147,Albania,2023-03-10 2:07,2023-03-10 2:07,41,19, - ,,,,Albania,Albania,
148,Cyprus,2023-03-17 20:32,2023-10-23 20:25,34.691839,33.322059, - ,,,,Cyprus,Cyprus,
149,Lebanon,2023-03-17 20:32,2023-10-23 20:23,33.899652,35.464304, - ,,,,Lebanon,Lebanon,
150,Chile,2023-03-20 17:41,2023-10-23 20:11,-33.044792,-71.662216, - ,,,,Chile,Chile,
151,Montenegro,2023-03-28 3:01,2023-10-23 20:06,42.267465,18.763376, - ,,,,Montenegro,Montenegro,
152,Canada - Atlantic Ocean,2023-03-30 22:08,2023-10-23 20:04,54.635101,-57.168915, - ,,,,Canada ,Canada ,
153,Tunisia,2023-04-07 1:20,2023-04-07 1:20,36.8065,10.1815, - ,,,,Tunisia,Tunisia,
154,Clipperton Island,2023-05-09 0:21,2023-05-09 0:21,10.3021,-109.2177, - ,,,,France,Clipperton Island,
155,Japan,2023-05-10 13:46,2023-05-10 13:46,33.251,134.144,Mainland Japan,,,,Japan,Japan,
156,France - Atlantic Ocean,2023-05-18 16:46,2023-05-18 16:46,48.274522,-4.965725, - ,,,,France,France ,
157,Spain - Canary Islands,2023-05-18 16:49,2023-05-18 16:49,28.322111,-15.931213, - ,,,,Spain ,Canary Islands,
158,Scotland,2023-05-19 16:01,2023-05-19 16:01,55.991843,-5.620008, - ,,,,United Kingdom,Scotland,
159,England,2023-05-19 20:39,2023-05-19 20:39,50.60668,-1.384151, - ,,,,United Kingdom,England,
160,Mexico - Pacific Ocean,2023-05-25 15:09,2023-10-23 20:30,17.33098,-101.44811, - ,,,,Mexico ,Mexico ,
161,Netherlands,2023-05-26 19:07,2023-05-26 19:07,52.475315,4.50592, - ,,,,Netherlands,Netherlands,
162,Morocco,2023-05-28 22:27,2023-05-28 22:27,33.22372,-8.597737, - ,,,,Morocco,Morocco,
163,Ireland,2023-07-03 6:16,2023-07-03 6:16,53.327963,-6.045624, - ,,,,Ireland,Ireland,
164,Vietnam,2023-07-27 14:21,2023-07-27 14:21,18.906802,105.83263, - ,,,,Vietnam,Vietnam,
165,India - Andaman and Nicobar Islands,2023-08-05 19:35,2023-08-05 19:35,12.032372,92.799939, - ,,,,India,Andaman and Nicobar Islands,
166,Saya de Malha Bank,2023-08-15 0:00,2023-08-15 0:00,-10.500008,61.500001, - ,,,,High Seas,Saya de Malha Bank,Listed in marineregions.org as High Seas
167,South Korea - Jejudo Island,2023-09-06 23:46,2023-09-06 23:46,33.33361,126.853885, - ,,,,South Korea,Jejudo Island,
168,French Guiana,2023-09-11 23:03,2023-09-11 23:03,5.132524,-52.543356, - ,,,,France,French Guiana,
169,Belgium,2023-09-11 23:04,2023-09-11 23:04,51.221416,2.859179, - ,,,,Belgium,Belgium,
170,Mozambique,2023-10-02 22:27,2023-10-02 22:27,-18.763999,36.448306, - ,,,,Mozambique,Mozambique,
171,Costa Rica - Caribbean Sea,2023-10-04 2:15,2023-10-23 18:48,10.244289,-83.237605, - ,,,,Costa Rica,Costa Rica ,
172,Germany,2023-10-04 2:17,2023-10-04 2:17,53.974675,8.1557, - ,,,,Germany,Germany,
173,Cape Verde,2023-10-04 23:38,2023-10-04 23:38,16.5388,-23.0418, - ,,,,Cape Verde,Cape Verde,
174,Comoros,2023-10-04 23:40,2023-10-04 23:40,-11.390937,43.278104, - ,,,,Comores,Comoros,
175,La Perouse,2023-10-23 18:01,2023-10-23 18:01,-19.71666,54.1666, - ,,,,France,La Perouse,
176,Salas y Gomez Nazca Ridge,2023-10-23 20:15,2023-10-23 20:20,-26.472347,-105.364326, - ,,,,Chile,Salas y Gomez Nazca Ridge,
177,India - Bay of Bengal,2023-10-27 18:05,2023-10-27 18:05,17.335027,82.899692, - ,,,,India,Bay of Bengal,
178,India - Laccadive Sea,2023-10-27 18:06,2023-10-27 18:06,8.063582,77.453289, - ,,,,India,Laccadive Sea,
