Id,Description,Created at,Updated at,Latitude,Longitude,Short description,Site name [Sites],Latitude [Sites],Longitude [Sites],SOVEREIGN1,TERRITORY1,Notes
12,Bermuda,2016-06-17 7:12,2016-06-17 7:12,32.3078,-64.7505, - ,"Kitchen shoal,Breakers,North Rock,Unnamed site,Rita,Coopers,Tuckers,Spittal,Devonshire,Hungry Bay,XL,Coopers,Tuckers,Spittal,Devonshire,Hungry Bay,Castle Harbour,Gurnet Rock,John Smith’s Bay,Princess Beach,Western Blue Cut,Rim Reef,Rim Reef","32.367,32.252,32.47,32.325,32.358,32.341,32.333,32.312,32.302,32.302,32.366,32.342,32.319,32.301,32.293,32.277,32.335,32.316,32.3,32.233,32.366,32.75,32.8","-64.644,-64.795,-64.768,-64.653,-64.641,-64.658,-64.671,-64.715,-64.738,-64.757,-64.601,-64.63,-64.661,-64.71,-64.73,-64.744,-64.654,-64.666,-64.7,-64.816,-64.933,-65.383,-65.416",United Kingdom,Bermuda,
13,Bonaire,2016-06-17 7:12,2016-06-17 7:12,12.17836,-68.23853, - ,"Karpata,Unnamed site,Bonaire","12.217,12.178,12.15","-68.354,-68.239,-68.283",Netherlands,Bonaire,
14,Brazil - Eastern Brazil,2016-06-17 7:12,2017-05-24 4:04,-18.199348,-37.595215, - ,"Unnamed site,Unnamed site,Region of Espírito Santo State,Region of Espírito Santo State,“Vapor 48” shipwreck, Pernambuco,Unnamed site,Rocas Atoll,Abrolhos Bank,Amapá,Pará,Espirito Santo,Ceará state","-4.983,-7.85,-21.303,-20.167,-8.133,-18.199348,3.85,-18.1,4.133,2.117,-19.577,-3.533","-35.0,-35.0,-40.512,-40.033,-34.6,-37.595215,-33.817,-38.0,-50.583,-40.45,-39.264,-38.266",Brazil ,Eastern Brazil,
16,Brazil - Fernando Noronha,2016-06-17 7:12,2017-05-24 4:05,-3.857642,-32.429704, - ,Fernando de Noronha Archipelago,-3.833,-32.25,Brazil ,Fernando Noronha,
18,Brazil - St Peter and St Paul Archipelago,2016-06-17 7:12,2017-05-24 4:05,0.916944,-29.334444, - ,"Unnamed site,St. Peter and St. Paul’s Archipelago","0.917,0.919","-29.334,-29.509",Brazil ,St Peter and St Paul Archipelago,
19,Brazil - Trindade and Martin Vaz,2016-06-17 7:12,2017-05-24 4:05,-20.525,-29.325, - ,"Unnamed site,Vitoria,Almirante Saldaranha,Jaseur,Davis,Trindade Shelf,Columbia Bank,Eclaireur,Ponta do 5 Farilhões,Ponta Noroeste,Enseada do Príncipe,Vitória,Al Saldanha,Besnard,Montague,Jaseur East,Dogaressa,Columbia,Trindade,Martin Vaz,Trindade Island,Martin Vaz Island","-20.525,-20.514,-22.382,-20.485,-20.577,-20.504,-20.713,-20.132,-20.53,-20.493,-20.526,-20.514,-22.382,-20.033,-20.485,-20.833,-20.833,-20.577,-20.504,-20.417,-20.5,-20.5","-34.5,-38.071,-37.588,-36.13,-34.806,-25.355,-35.421,-37.492,-29.33,-20.345,-29.31,-38.071,-37.588,-38.083,-38.0,-35.417,-34.0,-32.333,-25.355,-29.0,-29.333,-29.333",Brazil ,Trindade and Martin Vaz,
20,Cayman Islands,2016-06-17 7:12,2016-06-17 7:12,19.3133,-81.2546, - ,"Rock Bottom Wall, Little Cayman Island,Little Cayman Islands,Rock Bottom,Paul's Anchors,Unnamed site,Jackson's Point, Little Cayman Island,Rock Bottom Reef, Little Cayman,Unnamed site","19.701,19.683,19.694,19.7,19.322,19.69,19.702,19.69","-80.054,-80.05,-80.07,-80.057,-81.241,-80.037,-80.06,-80.037",United Kingdom,Cayman Islands,
21,Chagos Archipelago,2016-06-17 7:12,2017-05-24 4:06,-6,72, - ,Unnamed site,-6.283,72.083,Mauritius,Chagos Archipelago,
22,Micronesia - Chuuk atoll,2016-06-17 7:12,2017-05-24 4:07,5.57286,153.58504, - ,"Anaw Pass,South Pass","7.208,7.756","151.688,151.797",Micronesia ,Chuuk atoll,
23,Cook Islands,2016-06-17 7:12,2016-06-17 7:12,-21.236736,-159.777671, - ,Rarotonga,-21.224,-159.728,New Zealand,Cook Islands,
